Batch,Disease,Embedding,AUROC,F1,F1_MACRO,F1_MICRO,Exec Time,Total Run (secs),Epochs,LR,CV
DL_tfidf_results_2023-04-04-22-33-29,Asthma,all,0.6243046640992727,0.0,0.4464751958224543,0.8066037735849056,"Trn,Eval,Ttl=0:00:00.279475,0:00:00.084964,0:00:00.364439",0.364438533782959,1,0.01,False
DL_tfidf_results_2023-04-04-22-34-41,Asthma,all,0.6117529596348595,0.0,0.4464751958224543,0.8066037735849056,"Trn,Eval,Ttl=0:00:00.238456,0:00:00.038222,0:00:00.276678",0.2766778469085693,1,0.01,False
DL_tfidf_results_2023-04-04-22-35-26,Asthma,all,0.6790757381258024,0.0,0.4464751958224543,0.8066037735849056,"Trn,Eval,Ttl=0:00:12.606916,0:00:00.039771,0:00:12.646688",12.646687507629396,50,0.01,False
DL_tfidf_results_2023-04-04-22-35-26,CAD,all,0.898447204968944,0.8484848484848486,0.7943722943722944,0.8086124401913876,"Trn,Eval,Ttl=0:00:12.323613,0:00:00.031455,0:00:12.355068",12.355067729949951,50,0.01,False
DL_tfidf_results_2023-04-04-22-35-26,CHF,all,0.8736430742509769,0.8585858585858585,0.777119016249451,0.8068965517241379,"Trn,Eval,Ttl=0:00:09.574542,0:00:00.031876,0:00:09.606418",9.606417894363403,50,0.01,False
DL_tfidf_results_2023-04-04-22-35-26,Depression,all,0.6247489959839357,0.0,0.4368421052631578,0.7757009345794392,"Trn,Eval,Ttl=0:00:13.952919,0:00:00.039078,0:00:13.991996",13.99199628829956,50,0.01,False
DL_tfidf_results_2023-04-04-22-35-26,Diabetes,all,0.8374584806600235,0.8544303797468354,0.721858047016275,0.7850467289719625,"Trn,Eval,Ttl=0:00:13.003927,0:00:00.044181,0:00:13.048108",13.048107624053957,50,0.01,False
DL_tfidf_results_2023-04-04-22-35-26,Gallstones,all,0.6120463320463321,0.0,0.4567901234567901,0.8409090909090909,"Trn,Eval,Ttl=0:00:13.222371,0:00:00.034712,0:00:13.257083",13.257083177566528,50,0.01,False
DL_tfidf_results_2023-04-04-22-35-26,GERD,all,0.619116698903933,0.08,0.4681249999999999,0.7513513513513513,"Trn,Eval,Ttl=0:00:11.030417,0:00:00.047603,0:00:11.078020",11.078019857406616,50,0.01,False
DL_tfidf_results_2023-04-04-22-35-26,Gout,all,0.5971502590673574,0.0,0.466183574879227,0.8733031674208145,"Trn,Eval,Ttl=0:00:13.384439,0:00:00.040377,0:00:13.424817",13.424816846847534,50,0.01,False
DL_tfidf_results_2023-04-04-22-35-26,Hypercholesterolemia,all,0.7554760355671222,0.6981132075471698,0.6651485577965734,0.6683937823834197,"Trn,Eval,Ttl=0:00:11.155936,0:00:00.031642,0:00:11.187578",11.187578201293944,50,0.01,False
DL_tfidf_results_2023-04-04-22-35-26,Hypertension,all,0.6573643410852714,0.8847184986595173,0.4423592493297587,0.7932692307692307,"Trn,Eval,Ttl=0:00:12.176918,0:00:00.047271,0:00:12.224189",12.224188566207886,50,0.01,False
DL_tfidf_results_2023-04-04-22-35-26,Hypertriglyceridemia,all,0.536318407960199,0.0,0.4820143884892086,0.9305555555555556,"Trn,Eval,Ttl=0:00:12.671625,0:00:00.031639,0:00:12.703264",12.703263998031616,50,0.01,False
DL_tfidf_results_2023-04-04-22-35-26,OA,all,0.6138851402009297,0.0,0.4488188976377952,0.8142857142857143,"Trn,Eval,Ttl=0:00:12.332139,0:00:00.037337,0:00:12.369476",12.369476318359377,50,0.01,False
